version,type,counts,resets,time
1.3.0,solve,8955,142,0.110266
1.3.0,solve,26762,421,0.312968
1.3.0,solve,9980,155,0.114268
1.3.0,solve,17342,267,0.215453
1.3.0,solve,73159,1158,0.861754
1.3.0,solve,19789,308,0.248487
1.3.0,solve,14123,206,0.174993
1.3.0,solve,19343,310,0.235784
1.3.0,solve,50077,792,0.594239
1.3.0,solve,12778,201,0.149727
1.3.0,solve,21161,344,0.248815
1.3.0,solve,1839,26,0.020811
1.3.0,solve,61996,965,0.756355
1.3.0,solve,10449,158,0.128758
1.3.0,solve,6056,99,0.072547
1.3.0,solve,21314,343,0.266488
1.3.0,solve,51536,793,0.620086
1.3.0,solve,2422,35,0.03211
1.3.0,solve,550,7,0.006862
1.3.0,solve,26522,409,0.308172
1.3.0,solve,40599,636,0.483222
1.3.0,solve,7092,115,0.09571
1.3.0,solve,12107,184,0.146169
1.3.0,solve,3668,57,0.040613
1.3.0,solve,24550,383,0.297139
1.3.0,solve,30733,488,0.374973
1.3.0,solve,13029,220,0.16127
1.3.0,solve,55879,880,0.682003
1.3.0,solve,68068,1073,0.814438
1.3.0,solve,30350,471,0.373837
1.3.0,solve,19599,298,0.233739
1.3.0,solve,6926,103,0.085749
1.3.0,solve,3918,59,0.053231
1.3.0,solve,12112,181,0.150646
1.3.0,solve,81860,1251,0.97751
1.3.0,solve,6377,98,0.079107
1.3.0,solve,79023,1224,0.962138
1.3.0,solve,14961,220,0.181254
1.3.0,solve,2562,39,0.028263
1.3.0,solve,15345,248,0.185578
1.3.0,solve,37323,606,0.449212
1.3.0,solve,8491,136,0.091903
1.3.0,solve,22047,332,0.273649
1.3.0,solve,9174,137,0.114428
1.3.0,solve,10545,162,0.125321
1.3.0,solve,19598,299,0.242611
1.3.0,solve,13350,203,0.163405
1.3.0,solve,28986,451,0.359001
1.3.0,solve,63183,992,0.800912
1.3.0,solve,28083,450,0.364129
1.3.0,solve,2554,39,0.03453
1.3.0,solve,7794,115,0.107077
1.3.0,solve,851,12,0.014886
1.3.0,solve,1482,25,0.020325
1.3.0,solve,26671,424,0.363637
1.3.0,solve,43186,683,0.540997
1.3.0,solve,14967,216,0.185846
1.3.0,solve,100447,1580,1.18772
1.3.0,solve,14344,229,0.176636
1.3.0,solve,11292,173,0.13452
1.3.0,solve,39416,615,0.469018
1.3.0,solve,24200,393,0.27836
1.3.0,solve,3402,55,0.041078
1.3.0,solve,4708,69,0.055377
1.3.0,solve,14315,220,0.180731
1.3.0,solve,23506,363,0.284784
1.3.0,solve,33147,532,0.392175
1.3.0,solve,23118,357,0.270234
1.3.0,solve,12118,193,0.167367
1.3.0,solve,4584,71,0.058546
1.3.0,solve,37621,588,0.473402
1.3.0,solve,9818,155,0.127878
1.3.0,solve,7700,123,0.089479
1.3.0,solve,4616,69,0.056108
1.3.0,solve,6753,106,0.08525
1.3.0,solve,18581,286,0.232622
1.3.0,solve,114,1,0.002015
1.3.0,solve,33574,519,0.399617
1.3.0,solve,22710,351,0.276883
1.3.0,solve,16562,269,0.20783
1.3.0,solve,28291,424,0.335775
1.3.0,solve,45637,730,0.539929
1.3.0,solve,6558,103,0.082387
1.3.0,solve,76787,1200,0.922723
1.3.0,solve,30864,477,0.382625
1.3.0,solve,34273,540,0.425264
1.3.0,solve,6220,93,0.081723
1.3.0,solve,22908,353,0.27178
1.3.0,solve,2093,28,0.023131
1.3.0,solve,8547,134,0.098769
1.3.0,solve,27515,436,0.312164
1.3.0,solve,21343,336,0.255845
1.3.0,solve,7466,121,0.089088
1.3.0,solve,44261,678,0.535507
1.3.0,solve,13881,218,0.156155
1.3.0,solve,49645,784,0.582925
1.3.0,solve,13771,212,0.171656
1.3.0,solve,3914,63,0.052178
1.3.0,solve,624,9,0.007289
1.3.0,solve,4300,61,0.052371
1.3.0,solve,1866,27,0.026029
1.3.0,solve,1110,17,0.013214
1.3.0,solve,80856,1277,0.97581
1.3.0,solve,15232,233,0.186738
1.3.0,solve,28303,440,0.347254
1.3.0,solve,46594,739,0.581043
1.3.0,solve,748,9,0.008631
1.3.0,solve,569,10,0.006809
1.3.0,solve,28122,449,0.329194
1.3.0,solve,11297,180,0.12842
1.3.0,solve,19444,307,0.236428
1.3.0,solve,81,0,0.001127
1.3.0,solve,535,6,0.007158
1.3.0,solve,19910,313,0.238587
1.3.0,solve,723,10,0.013901
1.3.0,solve,12908,193,0.154926
1.3.0,solve,4312,77,0.052754
1.3.0,solve,14869,236,0.182584
1.3.0,solve,5740,85,0.075974
1.3.0,solve,14646,229,0.187584
1.3.0,solve,12301,196,0.158501
1.3.0,solve,33639,526,0.401503
1.3.0,solve,6934,111,0.075591
1.3.0,solve,12133,194,0.142954
1.3.0,solve,15459,238,0.191903
